9/16/2020, 9:51:09 PM | ERROR | 500 |data:{"length":174,"name":"error","severity":"ERROR","code":"42703","position":"15","file":"d:\\pginstaller_13.auto\\postgres.windows-x64\\src\\backend\\parser\\parse_relation.c","line":"3513","routine":"errorMissingColumn"} | 
9/16/2020, 9:53:46 PM | ERROR | 500 |data:{"length":174,"name":"error","severity":"ERROR","code":"42703","position":"15","file":"d:\\pginstaller_13.auto\\postgres.windows-x64\\src\\backend\\parser\\parse_relation.c","line":"3513","routine":"errorMissingColumn"} | 
9/16/2020, 9:57:00 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 9:57:13 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:08:18 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:08:36 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:08:50 PM | ERROR | 500 |data:{} | 
9/16/2020, 10:08:56 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:10:35 PM | ERROR | 500 |data:{} | 
9/16/2020, 10:10:40 PM | ERROR | 500 |data:{} | 
9/16/2020, 10:10:58 PM | ERROR | 500 |data:{} | 
9/16/2020, 10:11:07 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:11:19 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:12:03 PM | ERROR | 500 |data:{} | 
9/16/2020, 10:12:08 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:12:37 PM | ERROR | 500 |data:{} | 
9/16/2020, 10:12:51 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:13:09 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:13:23 PM | ERROR | 500 |data:{} | 
9/16/2020, 10:13:28 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:13:51 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:14:22 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:14:29 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:16:07 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:32:05 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:32:28 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:34:16 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:37:44 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:39:23 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:39:29 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:39:35 PM | ERROR | 500 |data:{} | 
9/16/2020, 10:40:47 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:42:49 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:43:38 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:44:14 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:45:31 PM | ERROR | 500 |data:{} | 
9/16/2020, 10:45:45 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:46:21 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:48:23 PM | ERROR | 500 |data:{} | 
9/16/2020, 10:48:30 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
9/16/2020, 10:49:43 PM | INFO | 200 |data:[{"customer_id":1,"customer_fullname":"anass roman","customer_email":"anass@gmail.com","customer_phone_1":"012365478965","customer_phone_2":"0645814325","created_on":"2020-09-07T13:51:34.000Z","created_by":"anass","active":1,"city_id":0,"user_id":0}] | 
